"Chr","bp","gene","cell_type","gene_name","gChr","gbp","cell_typeCode","bp_flat","gbp_flat"
"1",25648329,"9909","Root cap early","AT2G33860","2",14325269,"10",25648329,44747327
"1",25653716,"8320","Phloem pole pericycle","AT5G55360","5",22443724,"6",25653716,114558734
"1",25665740,"10830","Phloem pole pericycle","AT4G16990","4",9560135,"6",25665740,83126441
"1",2567067,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2567067,69591991
"1",25698258,"1373","Epidermis meristem","AT1G52347","1",19496506,"12",25698258,19496506
"1",25699751,"1373","Epidermis meristem","AT1G52347","1",19496506,"12",25699751,19496506
"1",25699751,"1373","Root cap early","AT1G52347","1",19496506,"10",25699751,19496506
"1",25701046,"11068","Root cap lateral","AT4G37682","4",17703381,"11",25701046,91269687
"1",25701046,"1373","Endodermis","AT1G52347","1",19496506,"5",25701046,19496506
"1",25701046,"1373","Epidermis meristem","AT1G52347","1",19496506,"12",25701046,19496506
"1",25701046,"1373","Root cap early","AT1G52347","1",19496506,"10",25701046,19496506
"1",25701046,"14036","Xylem pole pericycle","AT1G50350","1",18648756,"8",25701046,18648756
"1",25705056,"1373","Epidermis meristem","AT1G52347","1",19496506,"12",25705056,19496506
"1",25707778,"12280","Root cap tip","AT3G20140","3",7029175,"9",25707778,57136299
"1",25725536,"13253","Xylem pole pericycle","AT2G45135","2",18608824,"8",25725536,49030882
"1",25726419,"12646","Root cap lateral","AT5G40900","5",16391836,"11",25726419,108506846
"1",25730125,"9452","Endodermis","AT1G68540","1",25720024,"5",25730125,25720024
"1",25731329,"4438","Phloem and companion cells","AT3G22060","3",7771016,"14",25731329,57878140
"1",25736838,"5642","Procambium","AT4G10250","4",6370343,"13",25736838,79936649
"1",25738626,"9452","Endodermis","AT1G68540","1",25720024,"5",25738626,25720024
"1",25741242,"9452","Endodermis","AT1G68540","1",25720024,"5",25741242,25720024
"1",25742421,"9452","Endodermis","AT1G68540","1",25720024,"5",25742421,25720024
"1",25743306,"12646","Root cap lateral","AT5G40900","5",16391836,"11",25743306,108506846
"1",25749972,"12999","Epidermis meristem","AT1G02510","1",520498,"12",25749972,520498
"1",257560,"5612","Epidermis meristem","AT4G08874","4",5673276,"12",257560,79239582
"1",25758992,"12999","Epidermis meristem","AT1G02510","1",520498,"12",25758992,520498
"1",25760252,"12267","Phloem pole pericycle","AT3G13960","3",4608383,"6",25760252,54715507
"1",25767301,"1834","Phloem pole pericycle","AT1G68620","1",25765947,"6",25767301,25765947
"1",25774226,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25774226,61366711
"1",25774480,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25774480,61366711
"1",25781140,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25781140,61366711
"1",25785857,"1838","Hair cells","AT1G68680","1",25785506,"2",25785857,25785506
"1",25786116,"1838","Hair cells","AT1G68680","1",25785506,"2",25786116,25785506
"1",25795239,"11693","Root cap lateral","AT5G65980","5",26392444,"11",25795239,118507454
"1",25815936,"10116","Protoxylem","AT3G03240","3",746655,"15",25815936,50853779
"1",25820101,"10400","Hair cells","AT3G29770","3",11648341,"2",25820101,61755465
"1",25820236,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25820236,61366711
"1",2583838,"281","Hair cells","AT1G08220","1",2581022,"2",2583838,2581022
"1",25846988,"11147","Endodermis","AT5G04630","5",1330578,"5",25846988,93445588
"1",25856646,"9462","Epidermis meristem","AT1G69572","1",26161599,"12",25856646,26161599
"1",2585678,"12323","Non-hair cells","AT3G29340","3",11259587,"4",2585678,61366711
"1",2585678,"6884","Root cap lateral","AT5G04895","5",1428724,"11",2585678,93543734
"1",2586289,"282","Procambium","AT1G08230","1",2583654,"13",2586289,2583654
"1",2586289,"282","Xylem pole pericycle","AT1G08230","1",2583654,"8",2586289,2583654
"1",2586823,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2586823,69591991
"1",25870822,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25870822,61366711
"1",25871422,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25871422,61366711
"1",25880234,"1844","Procambium","AT1G68840","1",25880323,"13",25880234,25880323
"1",25880234,"1844","Xylem pole pericycle","AT1G68840","1",25880323,"8",25880234,25880323
"1",2588490,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2588490,69591991
"1",25885079,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25885079,61366711
"1",25913913,"8881","Phloem and companion cells","AT1G04760","1",1334760,"14",25913913,1334760
"1",25918649,"11842","Cortex","AT1G19610","1",6781483,"1",25918649,6781483
"1",25918674,"2404","Columella","AT2G05310","2",1933272,"3",25918674,32355330
"1",25953928,"13164","Endodermis","AT1G70260","1",26456844,"5",25953928,26456844
"1",25954832,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25954832,61366711
"1",25959716,"11842","Cortex","AT1G19610","1",6781483,"1",25959716,6781483
"1",25965097,"12323","Non-hair cells","AT3G29340","3",11259587,"4",25965097,61366711
"1",2596526,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2596526,69591991
"1",25979571,"11023","Phloem and companion cells","AT4G33730","4",16185098,"14",25979571,89751404
"1",26016105,"1784","Non-hair cells","AT1G67105","1",25057479,"4",26016105,25057479
"1",26016105,"1784","Procambium","AT1G67105","1",25057479,"13",26016105,25057479
"1",26016105,"1784","Root cap early","AT1G67105","1",25057479,"10",26016105,25057479
"1",26016105,"1784","Root cap lateral","AT1G67105","1",25057479,"11",26016105,25057479
"1",26049870,"10669","Root cap early","AT4G04030","4",1936653,"10",26049870,75502959
"1",26049870,"5099","Epidermis meristem","AT3G54730","3",20259003,"12",26049870,70366127
"1",26057725,"493","Endodermis","AT1G13790","1",4727438,"5",26057725,4727438
"1",26077248,"13326","Endodermis","AT3G25719","3",9379916,"5",26077248,59487040
"1",26089612,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26089612,61366711
"1",26092947,"13581","Root cap lateral","AT5G39100","5",15653090,"11",26092947,107768100
"1",2609842,"282","Xylem pole pericycle","AT1G08230","1",2583654,"8",2609842,2583654
"1",26110108,"1859","Hair cells","AT1G69450","1",26106911,"2",26110108,26106911
"1",26110108,"1859","Non-hair cells","AT1G69450","1",26106911,"4",26110108,26106911
"1",26110119,"1859","Hair cells","AT1G69450","1",26106911,"2",26110119,26106911
"1",26110119,"1859","Non-hair cells","AT1G69450","1",26106911,"4",26110119,26106911
"1",26112852,"1859","Hair cells","AT1G69450","1",26106911,"2",26112852,26106911
"1",26114102,"1859","Hair cells","AT1G69450","1",26106911,"2",26114102,26106911
"1",26120223,"10977","Xylem pole pericycle","AT4G28850","4",14244295,"8",26120223,87810601
"1",26143980,"10653","Epidermis meristem","AT4G02850","4",1266463,"12",26143980,74832769
"1",26146716,"11695","Procambium","AT5G66150","5",26439013,"13",26146716,118554023
"1",26146977,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26146977,61366711
"1",26149302,"6587","Cortex","AT4G36580","4",17257945,"1",26149302,90824251
"1",26159223,"13329","Hair cells","AT3G27140","3",10006891,"2",26159223,60114015
"1",26159318,"6553","Protoxylem","AT4G35730","4",16931039,"15",26159318,90497345
"1",26159318,"9535","Epidermis meristem","AT1G75700","1",28423896,"12",26159318,28423896
"1",26161328,"1401","Hair cells","AT1G53250","1",19857351,"2",26161328,19857351
"1",26165330,"5118","Columella","AT3G55210","3",20465215,"3",26165330,70572339
"1",26165980,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26165980,61366711
"1",26171830,"1872","Columella","AT1G69620","1",26189836,"3",26171830,26189836
"1",26173153,"5422","Columella","AT3G63470","3",23438474,"3",26173153,73545598
"1",26179621,"9881","Endodermis","AT2G31081","2",13238047,"5",26179621,43660105
"1",26185503,"1872","Root cap early","AT1G69620","1",26189836,"10",26185503,26189836
"1",2618823,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2618823,69591991
"1",26193144,"9375","Phloem pole pericycle","AT1G62690","1",23210441,"6",26193144,23210441
"1",26193737,"1872","Root cap early","AT1G69620","1",26189836,"10",26193737,26189836
"1",26194815,"13451","Endodermis","AT4G23205","4",12144243,"5",26194815,85710549
"1",26197707,"7094","Epidermis meristem","AT5G11100","5",3532402,"12",26197707,95647412
"1",26202961,"1307","Procambium","AT1G49940","1",18488360,"13",26202961,18488360
"1",26207190,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26207190,69591991
"1",26210515,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26210515,69591991
"1",26210967,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26210967,69591991
"1",26215985,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26215985,69591991
"1",26216012,"2163","Xylem pole pericycle","AT1G77090","1",28960387,"8",26216012,28960387
"1",26219439,"12167","Cortex","AT2G36590","2",15343006,"1",26219439,45765064
"1",262228,"12323","Non-hair cells","AT3G29340","3",11259587,"4",262228,61366711
"1",26245125,"3626","Phloem and companion cells","AT2G47630","2",19534503,"14",26245125,49956561
"1",26247056,"13534","Phloem pole pericycle","AT5G09210","5",2862610,"6",26247056,94977620
"1",26247708,"11466","Epidermis meristem","AT5G44910","5",18137354,"12",26247708,110252364
"1",26253319,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26253319,61366711
"1",2625925,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2625925,69591991
"1",26270911,"8438","Protoxylem","AT5G58600","5",23683791,"15",26270911,115798801
"1",26274240,"1497","Epidermis meristem","AT1G56250","1",21061600,"12",26274240,21061600
"1",26282728,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26282728,61366711
"1",26286813,"13453","Xylem pole pericycle","AT4G24231","4",12568875,"8",26286813,86135181
"1",26295022,"1881","Protoxylem","AT1G69840","1",26293601,"15",26295022,26293601
"1",26299966,"1882","Non-hair cells","AT1G69850","1",26296676,"4",26299966,26296676
"1",2630298,"14446","Root cap lateral","AT1G43680","1",16472205,"11",2630298,16472205
"1",2630528,"2075","Columella","AT1G74810","1",28108474,"3",2630528,28108474
"1",2630528,"256","Procambium","AT1G07645","1",2367437,"13",2630528,2367437
"1",26316523,"3047","Endodermis","AT2G33230","2",14080411,"5",26316523,44502469
"1",26320227,"3223","Phloem and companion cells","AT2G37430","2",15706357,"14",26320227,46128415
"1",26320227,"9577","Root cap early","AT1G79620","1",29957562,"10",26320227,29957562
"1",26329304,"12934","Xylem pole pericycle","AT4G25000","4",12851969,"8",26329304,86418275
"1",26332065,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26332065,61366711
"1",26341762,"11097","Root cap tip","AT4G39930","4",18518343,"9",26341762,92084649
"1",26344107,"9865","Procambium","AT2G29130","2",12524889,"13",26344107,42946947
"1",26353517,"1793","Hair cells","AT1G67460","1",25269626,"2",26353517,25269626
"1",26353517,"1793","Non-hair cells","AT1G67460","1",25269626,"4",26353517,25269626
"1",26365537,"795","Columella","AT1G22220","1",7846602,"3",26365537,7846602
"1",26373787,"10364","Phloem and companion cells","AT3G26840","3",9892794,"14",26373787,59999918
"1",26381418,"474","Columella","AT1G13300","1",4556892,"3",26381418,4556892
"1",26397008,"1888","Epidermis meristem","AT1G70080","1",26394669,"12",26397008,26394669
"1",26397008,"1888","Non-hair cells","AT1G70080","1",26394669,"4",26397008,26394669
"1",26397008,"1888","Root cap early","AT1G70080","1",26394669,"10",26397008,26394669
"1",26397008,"1888","Root cap lateral","AT1G70080","1",26394669,"11",26397008,26394669
"1",26399036,"1888","Non-hair cells","AT1G70080","1",26394669,"4",26399036,26394669
"1",26399036,"1888","Root cap early","AT1G70080","1",26394669,"10",26399036,26394669
"1",26399284,"1888","Non-hair cells","AT1G70080","1",26394669,"4",26399284,26394669
"1",26399284,"1888","Root cap early","AT1G70080","1",26394669,"10",26399284,26394669
"1",26399284,"1888","Root cap lateral","AT1G70080","1",26394669,"11",26399284,26394669
"1",26406105,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26406105,61366711
"1",26409441,"8840","Procambium","AT1G02300","1",453288,"13",26409441,453288
"1",26426175,"10065","Xylem pole pericycle","AT2G46570","2",19126872,"8",26426175,49548930
"1",26444930,"2436","Xylem","AT2G07772","2",3300978,"7",26444930,33723036
"1",26446763,"7541","Phloem and companion cells","AT5G23910","5",8068452,"14",26446763,100183462
"1",26461771,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26461771,61366711
"1",26475043,"12607","Xylem pole pericycle","AT5G21120","5",7182621,"8",26475043,99297631
"1",26475043,"4596","Xylem pole pericycle","AT3G26170","3",9573360,"8",26475043,59680484
"1",26475194,"4596","Xylem pole pericycle","AT3G26170","3",9573360,"8",26475194,59680484
"1",26487053,"12050","Cortex","AT2G04380","2",1525642,"1",26487053,31947700
"1",26503703,"1894","Hair cells","AT1G70350","1",26507114,"2",26503703,26507114
"1",26506189,"1894","Hair cells","AT1G70350","1",26507114,"2",26506189,26507114
"1",26509196,"1894","Hair cells","AT1G70350","1",26507114,"2",26509196,26507114
"1",26510089,"1894","Hair cells","AT1G70350","1",26507114,"2",26510089,26507114
"1",26513174,"1784","Epidermis meristem","AT1G67105","1",25057479,"12",26513174,25057479
"1",26530277,"12323","Non-hair cells","AT3G29340","3",11259587,"4",26530277,61366711
"1",26535730,"11534","Root cap early","AT5G50950","5",20729612,"10",26535730,112844622
"1",26551019,"1897","Root cap lateral","AT1G70440","1",26548952,"11",26551019,26548952
"1",26555298,"6535","Columella","AT4G35380","4",16819883,"3",26555298,90386189
"1",26556149,"9171","Hair cells","AT1G31258","1",11171225,"2",26556149,11171225
"1",26557538,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26557538,69591991
"1",26558435,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26558435,69591991
"1",26561183,"14026","Epidermis meristem","AT1G33840","1",12283862,"12",26561183,12283862
"1",26569228,"12511","Xylem","AT4G38830","4",18122326,"7",26569228,91688632
"1",26569228,"6109","Columella","AT4G24700","4",12744622,"3",26569228,86310928
"1",2656980,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2656980,69591991
"1",26600962,"563","Procambium","AT1G15510","1",5329111,"13",26600962,5329111
"1",266191,"12323","Non-hair cells","AT3G29340","3",11259587,"4",266191,61366711
"1",26625409,"9439","Non-hair cells","AT1G67520","1",25302726,"4",26625409,25302726
"1",26625409,"9439","Procambium","AT1G67520","1",25302726,"13",26625409,25302726
"1",26625409,"9439","Xylem pole pericycle","AT1G67520","1",25302726,"8",26625409,25302726
"1",2663605,"4474","Root cap early","AT3G23020","3",8177215,"10",2663605,58284339
"1",2664059,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",2664059,69591991
"1",26650012,"1910","Hair cells","AT1G70690","1",26652013,"2",26650012,26652013
"1",26650884,"9751","Root cap lateral","AT2G19780","2",8522678,"11",26650884,38944736
"1",26653923,"1910","Hair cells","AT1G70690","1",26652013,"2",26653923,26652013
"1",26659788,"1910","Hair cells","AT1G70690","1",26652013,"2",26659788,26652013
"1",26664932,"1910","Hair cells","AT1G70690","1",26652013,"2",26664932,26652013
"1",26665714,"1910","Hair cells","AT1G70690","1",26652013,"2",26665714,26652013
"1",26669921,"1913","Epidermis meristem","AT1G70750","1",26679975,"12",26669921,26679975
"1",26677796,"9245","Non-hair cells","AT1G48698","1",18010729,"4",26677796,18010729
"1",26719408,"11631","Root cap lateral","AT5G59660","5",24035687,"11",26719408,116150697
"1",26719408,"12002","Hair cells","AT1G70880","1",26722881,"2",26719408,26722881
"1",26721760,"12938","Xylem pole pericycle","AT4G32445","4",15660370,"8",26721760,89226676
"1",26740729,"14992","Phloem pole pericycle","AT2G39160","2",16333490,"6",26740729,46755548
"1",26753535,"13613","Root cap early","AT5G53320","5",21636241,"10",26753535,113751251
"1",26756995,"10235","Non-hair cells","AT3G13760","3",4517517,"4",26756995,54624641
"1",26768044,"9020","Xylem pole pericycle","AT1G13890","1",4751581,"8",26768044,4751581
"1",267913,"9339","Phloem and companion cells","AT1G58370","1",21684584,"14",267913,21684584
"1",26799911,"11426","Endodermis","AT5G41780","5",16723075,"5",26799911,108838085
"1",26806704,"9482","Protoxylem","AT1G71060","1",26805651,"15",26806704,26805651
"1",26817118,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26817118,69591991
"1",26818160,"589","Phloem and companion cells","AT1G16370","1",5596694,"14",26818160,5596694
"1",26823978,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26823978,69591991
"1",26824117,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26824117,69591991
"1",26827308,"10044","Phloem pole pericycle","AT2G44260","2",18295838,"6",26827308,48717896
"1",26837204,"14998","Hair cells","AT2G41240","2",17198282,"2",26837204,47620340
"1",26854760,"2389","Phloem and companion cells","AT2G04530","2",1576709,"14",26854760,31998767
"1",26855486,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26855486,69591991
"1",26870045,"10470","Cortex","AT3G49510","3",18353842,"1",26870045,68460966
"1",26875947,"14998","Hair cells","AT2G41240","2",17198282,"2",26875947,47620340
"1",26875947,"4060","Root cap tip","AT3G12170","3",3881000,"9",26875947,53988124
"1",26875947,"9373","Protoxylem","AT1G62540","1",23151794,"15",26875947,23151794
"1",26879257,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26879257,69591991
"1",26905666,"12002","Root cap tip","AT1G70880","1",26722881,"9",26905666,26722881
"1",26916902,"13375","Root cap early","AT3G60176","3",22240155,"10",26916902,72347279
"1",2692523,"10672","Endodermis","AT4G04110","4",1972591,"5",2692523,75538897
"1",2692523,"10672","Epidermis meristem","AT4G04110","4",1972591,"12",2692523,75538897
"1",2692523,"11609","Root cap tip","AT5G57567","5",23312045,"9",2692523,115427055
"1",26931469,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26931469,69591991
"1",26945511,"13375","Root cap early","AT3G60176","3",22240155,"10",26945511,72347279
"1",26960786,"12377","Phloem pole pericycle","AT3G55780","3",20705627,"6",26960786,70812751
"1",26968620,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26968620,69591991
"1",26977572,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26977572,69591991
"1",26978194,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26978194,69591991
"1",26980539,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26980539,69591991
"1",26981462,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",26981462,69591991
"1",26985349,"5934","Root cap lateral","AT4G19100","4",10453415,"11",26985349,84019721
"1",2700014,"10672","Cortex","AT4G04110","4",1972591,"1",2700014,75538897
"1",270131,"12323","Non-hair cells","AT3G29340","3",11259587,"4",270131,61366711
"1",27037217,"1948","Root cap tip","AT1G71770","1",26990525,"9",27037217,26990525
"1",27040280,"12504","Epidermis meristem","AT4G36770","4",17330146,"12",27040280,90896452
"1",27046576,"12109","Endodermis","AT2G21910","2",9341498,"5",27046576,39763556
"1",27062796,"7655","Non-hair cells","AT5G27220","5",9578757,"4",27062796,101693767
"1",27084775,"9829","Xylem pole pericycle","AT2G26620","2",11325163,"8",27084775,41747221
"1",27089936,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27089936,69591991
"1",27090796,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27090796,69591991
"1",27093820,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27093820,69591991
"1",27096684,"2312","Procambium","AT2G01505","2",228745,"13",27096684,30650803
"1",27104879,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27104879,69591991
"1",27132384,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27132384,69591991
"1",27143399,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27143399,69591991
"1",27162977,"13835","Epidermis meristem","AT3G52530","3",19484867,"12",27162977,69591991
"1",27163215,"9238","Endodermis","AT1G47920","1",17661095,"5",27163215,17661095
"1",27163215,"9238","Hair cells","AT1G47920","1",17661095,"2",27163215,17661095
"1",27163215,"9238","Xylem pole pericycle","AT1G47920","1",17661095,"8",27163215,17661095
"1",27187520,"1973","Protoxylem","AT1G72230","1",27188066,"15",27187520,27188066
"1",27187814,"4952","Phloem pole pericycle","AT3G50760","3",18868065,"6",27187814,68975189
"1",27225354,"8227","Columella","AT5G52570","5",21334793,"3",27225354,113449803
"1",27225605,"8027","Columella","AT5G46530","5",18875525,"3",27225605,110990535
"1",27231090,"10342","Cortex","AT3G25560","3",9279513,"1",27231090,59386637
"1",27232981,"1978","Hair cells","AT1G72330","1",27233475,"2",27232981,27233475
"1",27262260,"10114","Xylem","AT3G03130","3",721291,"7",27262260,50828415
"1",27262260,"5715","Xylem","AT4G13210","4",7669948,"7",27262260,81236254
"1",27263710,"10114","Xylem","AT3G03130","3",721291,"7",27263710,50828415
"1",27263710,"5715","Xylem","AT4G13210","4",7669948,"7",27263710,81236254
"1",27264093,"1978","Hair cells","AT1G72330","1",27233475,"2",27264093,27233475
"1",27264093,"1978","Non-hair cells","AT1G72330","1",27233475,"4",27264093,27233475
"1",27285960,"5860","Phloem and companion cells","AT4G16920","4",9519173,"14",27285960,83085479
"1",27304583,"11059","Root cap lateral","AT4G37230","4",17516424,"11",27304583,91082730
"1",27304583,"6716","Xylem","AT4G39790","4",18462190,"7",27304583,92028496
"1",27306270,"7331","Phloem and companion cells","AT5G17170","5",5649193,"14",27306270,97764203
"1",27308607,"6783","Phloem and companion cells","AT5G02010","5",383153,"14",27308607,92498163
"1",27310457,"9871","Non-hair cells","AT2G29780","2",12717786,"4",27310457,43139844
"1",27312844,"15721","Xylem","AT4G10260","4",6371377,"7",27312844,79937683
"1",27346896,"10883","Hair cells","AT4G20900","4",11184103,"2",27346896,84750409
"1",27354771,"1978","Non-hair cells","AT1G72330","1",27233475,"4",27354771,27233475
"1",27355435,"10883","Hair cells","AT4G20900","4",11184103,"2",27355435,84750409
"1",27360881,"15951","Xylem pole pericycle","AT5G61050","5",24565482,"8",27360881,116680492
"1",27363690,"936","Columella","AT1G27060","1",9395023,"3",27363690,9395023
"1",27363777,"2019","Endodermis","AT1G73210","1",27528052,"5",27363777,27528052
"1",27366307,"7767","Endodermis","AT5G38730","5",15510901,"5",27366307,107625911
"1",27366551,"12574","Root cap early","AT5G10150","5",3181983,"10",27366551,95296993
"1",27374280,"9345","Cortex","AT1G60030","1",22113841,"1",27374280,22113841
"1",27381824,"2519","Non-hair cells","AT2G16990","2",7383035,"4",27381824,37805093
"1",27396218,"1999","Endodermis","AT1G72790","1",27394747,"5",27396218,27394747
"1",27396218,"1999","Hair cells","AT1G72790","1",27394747,"2",27396218,27394747
"1",27396218,"1999","Procambium","AT1G72790","1",27394747,"13",27396218,27394747
"1",27396218,"1999","Xylem pole pericycle","AT1G72790","1",27394747,"8",27396218,27394747
"1",27396218,"2000","Endodermis","AT1G72800","1",27397216,"5",27396218,27397216
"1",27396218,"2000","Phloem and companion cells","AT1G72800","1",27397216,"14",27396218,27397216
"1",27396218,"2000","Phloem pole pericycle","AT1G72800","1",27397216,"6",27396218,27397216
"1",27396218,"2000","Procambium","AT1G72800","1",27397216,"13",27396218,27397216
"1",27396218,"2000","Xylem pole pericycle","AT1G72800","1",27397216,"8",27396218,27397216
"1",27398895,"1999","Xylem pole pericycle","AT1G72790","1",27394747,"8",27398895,27394747
"1",27398895,"2000","Endodermis","AT1G72800","1",27397216,"5",27398895,27397216
"1",27398895,"2000","Xylem pole pericycle","AT1G72800","1",27397216,"8",27398895,27397216
"1",27399383,"1999","Endodermis","AT1G72790","1",27394747,"5",27399383,27394747
"1",27399383,"1999","Procambium","AT1G72790","1",27394747,"13",27399383,27394747
"1",27399383,"1999","Xylem pole pericycle","AT1G72790","1",27394747,"8",27399383,27394747
"1",27399383,"2000","Endodermis","AT1G72800","1",27397216,"5",27399383,27397216
"1",27399383,"2000","Phloem and companion cells","AT1G72800","1",27397216,"14",27399383,27397216
"1",27399383,"2000","Phloem pole pericycle","AT1G72800","1",27397216,"6",27399383,27397216
"1",27399383,"2000","Xylem pole pericycle","AT1G72800","1",27397216,"8",27399383,27397216
"1",27401734,"13697","Epidermis meristem","AT1G44030","1",16724237,"12",27401734,16724237
"1",27402195,"2003","Non-hair cells","AT1G72840","1",27409237,"4",27402195,27409237
"1",27403000,"9499","Hair cells","AT1G72860","1",27416228,"2",27403000,27416228
"1",27404152,"2003","Non-hair cells","AT1G72840","1",27409237,"4",27404152,27409237
"1",27404710,"2004","Root cap lateral","AT1G72850","1",27413971,"11",27404710,27413971
"1",27404876,"2003","Non-hair cells","AT1G72840","1",27409237,"4",27404876,27409237
"1",27406001,"2003","Cortex","AT1G72840","1",27409237,"1",27406001,27409237
"1",27406001,"2003","Hair cells","AT1G72840","1",27409237,"2",27406001,27409237
"1",27406001,"2003","Non-hair cells","AT1G72840","1",27409237,"4",27406001,27409237
"1",27406001,"2003","Root cap early","AT1G72840","1",27409237,"10",27406001,27409237
"1",27406001,"2003","Root cap lateral","AT1G72840","1",27409237,"11",27406001,27409237
"1",27406001,"2004","Epidermis meristem","AT1G72850","1",27413971,"12",27406001,27413971
"1",27406001,"2004","Root cap early","AT1G72850","1",27413971,"10",27406001,27413971
"1",27406001,"2004","Root cap lateral","AT1G72850","1",27413971,"11",27406001,27413971
"1",27406001,"2004","Root cap tip","AT1G72850","1",27413971,"9",27406001,27413971
"1",27406924,"2003","Non-hair cells","AT1G72840","1",27409237,"4",27406924,27409237
"1",27424777,"13138","Hair cells","AT1G61700","1",22787012,"2",27424777,22787012
"1",27424793,"9499","Hair cells","AT1G72860","1",27416228,"2",27424793,27416228
"1",27424925,"2003","Hair cells","AT1G72840","1",27409237,"2",27424925,27409237
"1",27424925,"2004","Phloem pole pericycle","AT1G72850","1",27413971,"6",27424925,27413971
"1",27424925,"2004","Root cap early","AT1G72850","1",27413971,"10",27424925,27413971
"1",27425514,"2003","Hair cells","AT1G72840","1",27409237,"2",27425514,27409237
"1",27425514,"2003","Non-hair cells","AT1G72840","1",27409237,"4",27425514,27409237
"1",27425514,"2003","Root cap lateral","AT1G72840","1",27409237,"11",27425514,27409237
"1",27425514,"2004","Epidermis meristem","AT1G72850","1",27413971,"12",27425514,27413971
"1",27425514,"2004","Root cap early","AT1G72850","1",27413971,"10",27425514,27413971
"1",27425514,"2004","Root cap lateral","AT1G72850","1",27413971,"11",27425514,27413971
"1",27425514,"2004","Root cap tip","AT1G72850","1",27413971,"9",27425514,27413971
"1",27425834,"2004","Root cap tip","AT1G72850","1",27413971,"9",27425834,27413971
"1",27429961,"2006","Cortex","AT1G72900","1",27432195,"1",27429961,27432195
"1",27429961,"2006","Epidermis meristem","AT1G72900","1",27432195,"12",27429961,27432195
"1",27429961,"2006","Hair cells","AT1G72900","1",27432195,"2",27429961,27432195
"1",27429961,"2006","Non-hair cells","AT1G72900","1",27432195,"4",27429961,27432195
"1",27429961,"2006","Procambium","AT1G72900","1",27432195,"13",27429961,27432195
"1",27429961,"2006","Xylem pole pericycle","AT1G72900","1",27432195,"8",27429961,27432195
"1",27431516,"2006","Hair cells","AT1G72900","1",27432195,"2",27431516,27432195
"1",27431516,"2006","Non-hair cells","AT1G72900","1",27432195,"4",27431516,27432195
"1",27431577,"2006","Non-hair cells","AT1G72900","1",27432195,"4",27431577,27432195
"1",27431577,"2006","Phloem pole pericycle","AT1G72900","1",27432195,"6",27431577,27432195
"1",27431577,"2006","Xylem pole pericycle","AT1G72900","1",27432195,"8",27431577,27432195
"1",27431578,"2006","Xylem pole pericycle","AT1G72900","1",27432195,"8",27431578,27432195
"1",27433400,"2006","Epidermis meristem","AT1G72900","1",27432195,"12",27433400,27432195
"1",27433400,"2006","Hair cells","AT1G72900","1",27432195,"2",27433400,27432195
